Participant,Most Useful Feature,Code (Useful),Biggest Issue,Code (Issue)
1,Interactive quiz game,Engagement Features,Occasional crashes during lessons,Technical Issues
2,AI conversations,AI Interaction,Complicated to get around,Usability Issues
3,Personalized learning paths,Learning Effectiveness,Needs more language options,Content Limitations and Diversity
4,Daily progress tracker,Learning Effectiveness,User interface is not intuitive,Usability Issues
5,Gamification elements,Engagement Features,Too few examples in foreign language,Content Limitations and Diversity
6,Quiz game and feedback,Engagement Features,Slow to load new lessons,Technical Issues
7,Multiple language support,Content Limitations and Diversity,Speech recognition needs improvement,AI Interaction
8,AI-driven practice conversations,AI Interaction,Lacks advanced content for proficient users,Content Limitations and Diversity
9,Variety of exercises,Other,Repetitive tasks,Other
10,AI pronunciation feedback,Learning Effectiveness,Inaccurate translations sometimes,Other
11,Progress tracking and learning path,Learning Effectiveness,Not enough cultural context,Content Limitations and Diversity
12,Custom learning pathway,Learning Effectiveness,"Nothing, it's great",Other
13,The lessons are really engaging and fun,Engagement Features,"Not much, a few games were a bit too easy",Engagement Features
14,Interactive games and quizzes,Engagement Features,Limited number of stories,Content Limitations and Diversity
15,Grammar tips from AI,Learning Effectiveness,Some lessons are too long,Other
16,Real-time feedback,Learning Effectiveness,Occasional technical glitches,Technical Issues
17,Cultural insights,Content Limitations and Diversity,Frequent crashes were annoying,Technical Issues
18,Learning games,Engagement Features,Some games were too easy,Engagement Features
19,Extensive vocabulary lists,Content Limitations and Diversity,More examples needed in some sections,Content Limitations and Diversity
20,Flashcard game,Engagement Features,Would have loved more flashcard variety,Other
21,Real-time feedback on pronunciation,Learning Effectiveness,A lot of the time AI didn't understand me,AI Interaction
